,place_name,reviewer_name,reviewer_rating
0,Jakarta Restaurant & The Courtyard,Putra P,5
1,Jakarta Restaurant & The Courtyard,Fitri Andriyani,5
2,Jakarta Restaurant & The Courtyard,Evan Tan,4
3,Jakarta Restaurant & The Courtyard,Bernie Soebekti,5
4,Jakarta Restaurant & The Courtyard,rafa martinez,5
5,La Brasserie Restaurant,Robin K,5
6,La Brasserie Restaurant,Soo Hin Yeoh,5
7,La Brasserie Restaurant,Cindy Cindy,5
8,La Brasserie Restaurant,Biju Varghese,5
9,La Brasserie Restaurant,Leony Maranatha (Oh Eun Sun),5
10,Animale Restaurant,Sarah Mulyo,5
11,Animale Restaurant,Liz G,4
12,Animale Restaurant,lidya evangelista,5
13,Animale Restaurant,Sarah R.,4
14,Animale Restaurant,Ronderic,5
15,Harum Manis Restaurant,Lily Gorjan,4
16,Harum Manis Restaurant,Sandra Monica,4
17,Harum Manis Restaurant,Lyndon Burke,5
18,Harum Manis Restaurant,Anita Schneider,5
19,Harum Manis Restaurant,yunan bayu pratama,5
20,Signatures Restaurant,Fajar Fajar,3
21,Signatures Restaurant,Aryanto,5
22,Signatures Restaurant,Yan Putra,4
23,Signatures Restaurant,Nana Setiawan,4
24,Signatures Restaurant,Gary Lim,4
25,Sana Sini Restaurant,Frederique De Sousa,5
26,Sana Sini Restaurant,Budi Soetjipto,3
27,Sana Sini Restaurant,Lydia Zein,5
28,Sana Sini Restaurant,Alex A. ART,4
29,Sana Sini Restaurant,R A,5
30,HA-KA Resto,Richard Yahya,5
31,HA-KA Resto,seli ariani,5
32,HA-KA Resto,Tri Ana,5
33,HA-KA Resto,Ramil Valitov,5
34,HA-KA Resto,Amar Khosyian,5
35,Catappa Restaurant,Tedy Wijaya,5
36,Catappa Restaurant,ye row,2
37,Catappa Restaurant,LIN WIE,3
38,Catappa Restaurant,Nanang Setiawan,5
39,Catappa Restaurant,Valen Susanto,5
40,PA.SO.LA Restaurant,Alisa Levchenko-Plekhanova,3
41,PA.SO.LA Restaurant,Reddy Panggabean,5
42,PA.SO.LA Restaurant,Marcella Cindy,5
43,PA.SO.LA Restaurant,Michelle A,2
44,PA.SO.LA Restaurant,Rini Yulianti,5
45,Table8,Julia Christina,5
46,Table8,Vincent Ruslie,5
47,Table8,Joshua Gustaf Tangkulung,5
48,Table8,theodora regina,5
49,Table8,Titan 10,5
50,D'Sky Bistro - Jakarta,Ghozy Naim,5
51,D'Sky Bistro - Jakarta,Aleksander Hutabarat,4
52,D'Sky Bistro - Jakarta,Agung Satrio,4
53,D'Sky Bistro - Jakarta,bagus ariadi,5
54,D'Sky Bistro - Jakarta,BEN,5
55,Gran Via Cafe,Hans Jonathan,5
56,Gran Via Cafe,Jennifer Bratakencana,5
57,Gran Via Cafe,Linawati Sardjan,3
58,Gran Via Cafe,Max,5
59,Gran Via Cafe,Safeena Shivanand,5
60,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,dailux,3
61,Al Jazeerah Signature Restaurant & Lounge مطعم الجزيرة سقنتشر جاكرتا,nicholas aristia,4
