,formatted_address,name,place_id,rating,user_ratings_total,Types
0,"Jl. Ronggowarsito No.38, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57131, Indonesia",Saffron Resto & Meatshop,ChIJt7U8K4gWei4RymxgX-AtF7U,4.6,1547,restaurant
10,"Jl. Gajahmada No.42, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Alamama Resto,ChIJI2U9sBgXei4RBplRTLe7ikA,4.8,1648,restaurant
11,"Slamet Riyadi St No.111, Kemlayan, Serengan, Surakarta City, Central Java 57151, Indonesia",Kusuma Sari Restaurant & Ice Cream,ChIJjY9OyGMWei4RIPjPIK6har0,4.5,4325,restaurant
12,"Jl. Kalilarangan No.17, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57155, Indonesia",Bakso Kalilarangan 1,ChIJQQrIU2QWei4ROZ2d2kNy4l8,4.2,205,restaurant
16,"Jl. Gatot Subroto No.50, Kemlayan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Madam Xiang,ChIJDcnBFmMWei4R3H7Xx3jhjlY,4.4,433,restaurant
17,"Jl. Diponegoro No.34-54, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Omah Sinten Heritage Hotel & Resto,ChIJn7_cf2IWei4RTgzkD_iBsqA,4.4,615,lodging
18,"Jl. Yos Sudarso No.172, Jayengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Dapur Asli Solo,ChIJCRWsCGUWei4R-ek_WkKtRrc,4.5,335,restaurant
19,"Jl. Dr. Rajiman No.53, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133, Indonesia",Mr. Hiroshi Ramen - Takoyaki,ChIJqVqmz4oXei4RfBVOeBDC4kk,4.7,240,restaurant
20,"Jl. Yos Sudarso, Jayengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57152, Indonesia",Nasi Liwet Bu Waris,ChIJfTEMVmQWei4RYARyEqAU3QA,4.7,200,restaurant
26,"Jl. Kebangkitan Nasional No.31, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia",Par Four Cafe,ChIJDbY2230Wei4R9K4YAcfbd-0,4.7,457,restaurant
27,"Jl. Yos Sudarso No.55B, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57151, Indonesia",Sate Ayam Pak Syam,ChIJoVQNdmQWei4Rbz1tD1Ewar0,4.7,151,restaurant
28,"Jl. Ronggowarsito No.97, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Cafe Tiga Ceret,ChIJBytXZygUei4RBOZ4K3dAUm4,4.3,6435,restaurant
30,"Slamet Riyadi St, Keprabon, Banjarsari, Surakarta City, Central Java 57131, Indonesia",KFC,ChIJXUv82-0Xei4RPIMtAw8P1hQ,4.5,2721,cafe
32,"Jalan Yos Sudarso No.241, Kratonan, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57151, Indonesia",Bu Parmi's Nasi Liwet & Cabuk Rambak,ChIJuwduym8Wei4RxNKCU1nQE6A,4.6,1148,restaurant
33,"CR9C+4CH, Jl. Veteran, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57156, Indonesia",Nasi Liwet Yu Sani Gemblegan,ChIJ689DPm4Wei4Rt3aJAx6bLVw,4.5,1781,restaurant
