,place_name,reviewer_name,reviewer_rating
0,Saffron Resto & Meatshop,HS MXH,5
1,Saffron Resto & Meatshop,Adelisa Devita,5
2,Saffron Resto & Meatshop,m,5
3,Saffron Resto & Meatshop,Dean Handiyansyah,5
4,Saffron Resto & Meatshop,Rina Tri Lestari,5
5,Alamama Resto,Ajeng K Ratri,4
6,Alamama Resto,amrullah iam,5
7,Alamama Resto,Janitra Haryanto,5
8,Alamama Resto,John Does,3
9,Alamama Resto,Haotian Tong,5
10,Kusuma Sari Restaurant & Ice Cream,Muchlas Abdi Pratama,3
11,Kusuma Sari Restaurant & Ice Cream,Agatha Andini,5
12,Kusuma Sari Restaurant & Ice Cream,Warsono Hadisubroto,4
13,Kusuma Sari Restaurant & Ice Cream,Nina,4
14,Kusuma Sari Restaurant & Ice Cream,h yusuf,5
15,Bakso Kalilarangan 1,BSB,2
16,Bakso Kalilarangan 1,Aming Nugroho,5
17,Bakso Kalilarangan 1,D2 Sptr,5
18,Bakso Kalilarangan 1,Alwyn Heriawan,5
19,Bakso Kalilarangan 1,Kartiko Y. Prijosoesilo,5
20,Madam Xiang,Mariana Wijayanti,5
21,Madam Xiang,Rex Sumner,5
22,Madam Xiang,Gerhard Aditama,4
23,Madam Xiang,Andri Rahardja,5
24,Madam Xiang,Stevan Ady Susanto,3
25,Omah Sinten Heritage Hotel & Resto,Richard Wu,4
26,Omah Sinten Heritage Hotel & Resto,John Abbott,3
27,Omah Sinten Heritage Hotel & Resto,Yesa Kristina,4
28,Omah Sinten Heritage Hotel & Resto,Toomas Vendelin,5
29,Omah Sinten Heritage Hotel & Resto,Abbott Hsu,5
30,Dapur Asli Solo,Rury B,5
31,Dapur Asli Solo,Charmaine V,5
32,Dapur Asli Solo,Hazel Nadine,5
33,Dapur Asli Solo,Natalia,5
34,Dapur Asli Solo,Budi Santoso,5
35,Mr. Hiroshi Ramen - Takoyaki,septian Maulid W,5
36,Mr. Hiroshi Ramen - Takoyaki,Tian S,5
37,Mr. Hiroshi Ramen - Takoyaki,Annasruddin Pratama,5
38,Mr. Hiroshi Ramen - Takoyaki,Ian Harris,4
39,Mr. Hiroshi Ramen - Takoyaki,Euis Septiana,5
40,Nasi Liwet Bu Waris,Shabrina Sabri,5
41,Nasi Liwet Bu Waris,Arief,4
42,Nasi Liwet Bu Waris,I Hafshah Hesniar,5
43,Nasi Liwet Bu Waris,Dismas Lukito,4
